0	2.02457e-07	-2.02457e-07	2.02822e-09	1	1.00001	1
0.01	2.57329e-06	0.00237383	6.20828e-08	1	1.00005	1.00099
0.02	1.18028e-05	-0.00221785	4.64833e-07	1	1.00017	1.00394
0.03	3.50852e-05	-0.0031719	1.93102e-06	0.999998	1.00041	1.00886
0.04	8.17637e-05	-0.00301275	5.80335e-06	0.999994	1.0008	1.01571
0.05	0.0001629	-0.000320695	1.42053e-05	0.999986	1.00137	1.02447
0.06	0.000290785	0.00622608	3.01694e-05	0.99997	1.00216	1.03511
0.07	0.000478424	0.0132298	5.77322e-05	0.999942	1.0032	1.04759
0.08	0.000739004	0.0169575	0.000101994	0.999898	1.00452	1.06185
0.09	0.00108537	0.00291748	0.00016914	0.999831	1.00616	1.07784
0.1	0.00152957	0.0124741	0.000266426	0.999734	1.00813	1.09549
0.11	0.00208238	0.0359557	0.000402123	0.999598	1.01047	1.11474
0.12	0.00275295	0.0186718	0.000585424	0.999415	1.01319	1.13552
0.13	0.00354851	-0.00190126	0.00082632	0.999174	1.01633	1.15773
0.14	0.00447414	0.00708561	0.00113544	0.998865	1.0199	1.18129
0.15	0.00553262	0.0349359	0.00152385	0.998477	1.02393	1.20611
0.16	0.00672434	-0.00206452	0.00200285	0.997999	1.02844	1.23209
0.17	0.00804731	-0.0104927	0.00258374	0.99742	1.03343	1.25912
0.18	0.00949724	-0.01232	0.00327758	0.996728	1.03893	1.28711
0.19	0.0110676	-0.0188704	0.00409489	0.995913	1.04494	1.31594
0.2	0.0127499	-0.0203679	0.00504545	0.994967	1.05149	1.34549
0.21	0.0145336	-0.0191372	0.00613801	0.993881	1.05858	1.37566
0.22	0.0164068	0.00841512	0.00738007	0.992647	1.06622	1.40631
0.23	0.0183561	0.00384339	0.00877767	0.991261	1.07441	1.43733
0.24	0.0203672	-0.0150218	0.0103352	0.989718	1.08316	1.4686
0.25	0.0224246	0.00600243	0.012055	0.988017	1.09247	1.5
0.26	0.0245127	0.0110983	0.0139379	0.986159	1.10234	1.5314
0.27	0.0266154	-0.00581807	0.0159822	0.984145	1.11277	1.56267
0.28	0.0287166	-0.0200899	0.0181844	0.98198	1.12374	1.59369
0.29	0.0308004	-0.0315339	0.0205388	0.979671	1.13527	1.62434
0.3	0.0328516	-0.0424216	0.0230375	0.977226	1.14732	1.65451
0.31	0.0348554	-0.0445306	0.0256709	0.974656	1.15989	1.68406
0.32	0.036798	-0.0463534	0.0284271	0.971973	1.17297	1.71289
0.33	0.0386664	-0.0440518	0.0312929	0.969192	1.18653	1.74088
0.34	0.040449	-0.0468824	0.0342533	0.966327	1.20056	1.76791
0.35	0.0421353	-0.0431378	0.037292	0.963395	1.21502	1.79389
0.36	0.043716	-0.00894306	0.0403916	0.960413	1.22989	1.81871
0.37	0.0451835	-0.0225084	0.0435341	0.9574	1.24513	1.84227
0.38	0.0465313	-0.0383467	0.0467006	0.954373	1.26072	1.86448
0.39	0.0477546	-0.0443669	0.0498722	0.951351	1.27661	1.88526
0.4	0.0488498	-0.0585142	0.0530299	0.948352	1.29277	1.90451
0.41	0.0498149	-0.051242	0.0561549	0.945393	1.30914	1.92216
0.42	0.0506491	-0.0603585	0.0592291	0.942491	1.32569	1.93815
0.43	0.0513531	-0.0613488	0.062235	0.939662	1.34236	1.95241
0.44	0.0519287	-0.0386843	0.0651563	0.936921	1.3591	1.96489
0.45	0.0523789	-0.0437472	0.0679777	0.934281	1.37585	1.97553
0.46	0.0527079	-0.060889	0.0706855	0.931755	1.39257	1.98429
0.47	0.0529209	-0.0515763	0.0732675	0.929352	1.40918	1.99114
0.48	0.0530239	-0.0588491	0.075713	0.927082	1.42563	1.99606
0.49	0.0530239	-0.0612996	0.0780134	0.924952	1.44185	1.99901
0.5	0.0529285	-0.0571929	0.0801615	0.922967	1.4578	2
0.51	0.0527461	-0.0413521	0.0821523	0.921132	1.47339	1.99901
0.52	0.0524854	-0.0143495	0.0839826	0.919447	1.48858	1.99606
0.53	0.0521559	-0.0160058	0.0856508	0.917915	1.5033	1.99114
0.54	0.0517671	-0.0600787	0.0871574	0.916533	1.51748	1.98429
0.55	0.0513292	-0.0432421	0.0885044	0.915299	1.53108	1.97553
0.56	0.0508522	-0.0366739	0.0896956	0.914209	1.54403	1.96489
0.57	0.0503465	-0.0536412	0.0907361	0.913259	1.55628	1.95241
0.58	0.0498224	-0.0247636	0.0916327	0.91244	1.56779	1.93815
0.59	0.0492903	-0.0148656	0.0923932	0.911747	1.57849	1.92216
0.6	0.0487604	-0.0113478	0.0930266	0.911169	1.58836	1.90451
0.61	0.0482428	-0.0447035	0.0935431	0.910699	1.59734	1.88526
0.62	0.0477473	-0.056844	0.0939534	0.910325	1.60542	1.86448
0.63	0.0472834	-0.030724	0.0942691	0.910038	1.61255	1.84227
0.64	0.0468604	-0.051118	0.0945021	0.909826	1.61871	1.81871
0.65	0.046487	-0.0562428	0.094665	0.909678	1.62388	1.79389
0.66	0.0461714	-0.0471912	0.0947703	0.909582	1.62806	1.76791
0.67	0.0459214	-0.0386518	0.0948308	0.909527	1.63123	1.74088
0.68	0.0457441	-0.0499445	0.094859	0.909501	1.63339	1.71289
0.69	0.0456457	-0.0556384	0.0948673	0.909494	1.63454	1.68406
0.7	0.0456319	-0.0544331	0.0948679	0.909493	1.6347	1.65451
0.71	0.0457074	-0.0476509	0.0948724	0.909489	1.63387	1.62434
0.72	0.045876	-0.0552274	0.0948919	0.909471	1.63208	1.59369
0.73	0.0461405	-0.0553711	0.0949367	0.90943	1.62935	1.56267
